CONTROL,REGION,SHIPMONTH,SECTIONS,WEIGHT,WGTADJ,STATUS,PRICE,SQFT,BEDROOMS,TITLED,LOCATION,FOUNDATION,SECURED,JSTATUS,JPRICE,JSQFT,JBEDROOM,JTITLED,JLOCATION,JFOUNDATION,JSECURED
1401001,4,201401,2,5.784210526,1.081805946,2,96400,1836,3,1,1,1,9,R,I,R,R,R,R,R,R
1401002,2,201401,1,4.854545455,0.927452179,2,55800,1300,3,2,1,3,1,R,I,R,R,R,R,R,R
1401003,2,201401,1,4.854545455,0.927452179,2,57300,1300,3,2,1,3,1,R,I,I,I,I,I,I,I
1401004,3,201401,1,34.778571429,0.927452179,1,49200,1088,1,9,9,9,9,R,I,I,I,9,9,9,9
1401005,4,201401,1,11.568421053,0.927452179,2,42700,600,1,2,3,2,1,R,R,R,R,R,R,R,R
1401006,3,201401,2,17.389285714,1.081805946,2,49900,1792,3,2,3,3,1,R,R,R,R,R,R,R,R
1401007,3,201401,2,17.389285714,1.081805946,1,50700,1000,3,9,9,9,9,R,R,R,R,9,9,9,9
1401008,2,201401,2,2.427272727,1.081805946,2,95200,1404,3,2,1,2,1,R,R,R,R,R,R,R,R
1401009,1,201401,2,2.408333333,1.081805946,2,93000,1736,1,2,3,3,1,I,I,I,I,I,I,I,I
1401010,3,201401,2,17.389285714,1.081805946,2,60000,1568,3,2,3,2,1,R,R,R,R,R,R,R,R
1401011,3,201401,1,34.778571429,0.927452179,1,48900,1080,3,9,9,9,9,I,I,I,I,9,9,9,9
1401012,3,201401,2,17.389285714,1.081805946,2,79600,1344,3,2,3,3,1,I,I,I,I,I,I,I,I
1401013,2,201401,2,17.389285714,1.081805946,2,87300,1568,3,2,1,3,1,R,I,I,I,I,I,I,I
1401014,4,201401,2,5.784210526,1.081805946,2,96000,1404,3,1,3,1,9,R,R,R,R,R,R,R,R
1401015,1,201401,2,2.408333333,1.081805946,2,65900,1792,3,2,3,3,1,R,R,R,R,R,R,R,R
1401016,2,201401,2,2.427272727,1.081805946,2,78000,1296,3,3,1,3,1,R,I,R,R,R,R,R,R
1401017,3,201401,1,34.778571429,0.927452179,1,53600,1216,3,9,9,9,9,R,I,R,R,9,9,9,9
1401018,4,201401,2,5.784210526,1.081805946,2,185900,1512,3,2,1,2,1,R,R,R,R,R,R,R,R
1401019,5,201401,3,11.592857143,1.081805946,2,89200,1624,3,2,1,3,1,R,I,I,I,R,R,R,R
1401020,2,201401,2,2.427272727,1.081805946,2,72000,1680,3,1,3,3,1,R,R,R,R,R,R,R,R
1401021,3,201401,1,34.778571429,0.927452179,2,53600,1216,3,1,3,1,9,I,I,I,I,I,I,I,R
1401022,4,201401,2,5.784210526,1.081805946,2,92000,1344,3,2,1,2,1,R,R,R,R,R,R,R,R
1401023,3,201401,2,17.389285714,1.081805946,1,87700,1568,3,9,9,9,9,R,R,R,R,9,9,9,9
1401024,5,201401,3,3.856140351,1.081805946,2,144400,2560,3,1,3,2,1,R,R,R,R,R,R,R,R
1401025,1,201401,1,4.816666667,0.927452179,2,41500,756,1,1,3,2,1,R,R,R,R,R,R,R,R
1401026,4,201401,2,5.784210526,1.081805946,2,81700,1404,1,2,1,3,1,R,I,R,R,R,R,R,R
1401027,4,201401,2,5.784210526,1.081805946,2,61700,1404,3,2,3,2,1,R,R,R,R,R,R,R,R
1401028,3,201401,2,17.389285714,1.081805946,2,51700,1984,3,3,3,3,1,R,R,R,R,R,R,R,R
1401029,3,201401,2,17.389285714,1.081805946,1,60000,1568,3,9,9,9,9,R,R,R,R,9,9,9,9
1401030,1,201401,2,2.408333333,1.081805946,2,75800,1232,1,3,1,2,1,R,I,R,R,R,R,R,R
1401031,4,201401,2,5.784210526,1.081805946,2,121100,2500,3,1,1,1,9,R,I,I,I,I,I,I,R
1401032,1,201401,2,2.408333333,1.081805946,2,106400,2000,3,2,1,3,1,R,I,R,R,R,R,R,R
1401033,3,201401,1,34.778571429,0.927452179,2,42700,896,1,2,3,3,1,I,I,I,I,I,I,I,I
1401034,2,201401,1,4.854545455,0.927452179,2,45800,1056,3,2,3,2,1,R,R,R,R,R,R,R,R
1401035,3,201401,1,34.778571429,0.927452179,2,53600,1216,3,2,3,1,9,I,I,I,I,I,I,I,R
1401036,1,201401,1,4.816666667,0.927452179,2,50000,1120,3,1,3,3,1,R,R,R,R,R,R,R,R
1401037,2,201401,1,4.854545455,0.927452179,2,48800,1216,3,2,1,3,1,R,R,R,R,R,R,R,R
1401038,3,201401,2,17.389285714,1.081805946,2,114200,1680,3,1,3,3,1,R,R,R,R,R,R,R,R
1401039,4,201401,2,5.784210526,1.081805946,2,62100,1568,3,2,3,1,9,R,R,R,R,R,R,R,R
1401040,1,201401,2,2.408333333,1.081805946,2,75800,1232,3,2,1,3,1,R,I,R,R,R,R,R,R
1401041,4,201401,2,5.784210526,1.081805946,2,185900,1620,3,2,1,3,1,R,R,R,R,R,R,R,R
1401042,1,201401,1,4.816666667,0.927452179,1,46000,924,1,9,9,9,9,R,R,R,R,9,9,9,9
1401043,4,201401,2,5.784210526,1.081805946,2,185900,1620,3,2,1,3,1,R,R,R,R,R,R,R,R
1401044,2,201401,2,2.427272727,1.081805946,2,71500,1456,3,2,3,3,1,R,R,R,R,R,R,R,R
1401045,2,201401,1,4.854545455,0.927452179,2,33000,896,3,2,3,3,1,R,R,R,R,R,R,R,R
1401046,3,201401,2,17.389285714,1.081805946,3,9,9,9,9,9,9,9,I,9,9,9,9,9,9,9
1401047,3,201401,2,17.389285714,1.081805946,2,81800,1408,3,2,1,3,1,R,I,I,I,I,R,I,I
1401048,5,201401,3,3.856140351,1.081805946,3,9,9,9,9,9,9,9,R,9,9,9,9,9,9,9
1401049,3,201401,1,34.778571429,0.927452179,2,55800,1280,3,2,1,3,1,R,I,R,R,R,R,R,R
1401050,3,201401,2,17.389285714,1.081805946,2,81900,1848,3,2,3,3,1,R,R,R,R,R,R,R,R
1401051,3,201401,1,34.778571429,0.927452179,2,43500,1216,3,1,3,3,1,R,R,R,R,R,R,R,R
1401052,3,201401,2,17.389285714,1.081805946,2,118000,2500,3,2,3,1,9,R,R,R,R,R,R,R,R
1401053,1,201401,2,2.408333333,1.081805946,2,75800,1232,3,2,1,3,1,R,I,I,I,R,R,R,R
1401054,2,201401,2,2.427272727,1.081805946,2,102200,1568,3,2,3,3,1,R,R,R,R,R,R,R,R
1401055,2,201401,2,2.427272727,1.081805946,2,89200,1624,3,2,3,3,1,R,I,I,I,R,R,R,R
1401056,3,201401,2,17.389285714,1.081805946,1,131700,2500,3,9,9,9,9,I,I,I,I,9,9,9,9
1401057,4,201401,2,5.784210526,1.081805946,2,67800,1056,3,1,3,1,9,R,R,R,R,R,R,R,R
1401058,3,201401,1,34.778571429,0.927452179,2,41400,1216,3,2,3,3,1,R,R,R,R,R,R,R,R
1401059,2,201401,2,2.427272727,1.081805946,1,39500,1456,3,9,9,9,9,R,R,R,R,9,9,9,9
1401060,2,201401,2,2.427272727,1.081805946,2,87300,1568,3,2,1,3,1,I,I,R,R,I,I,I,I
1401061,1,201401,2,2.408333333,1.081805946,1,70900,1456,3,9,9,9,9,R,R,R,R,9,9,9,9
1401062,3,201401,2,17.389285714,1.081805946,1,79500,1736,3,9,9,9,9,R,R,R,R,9,9,9,9
1401063,1,201401,2,2.408333333,1.081805946,2,79600,1344,3,2,3,2,1,I,I,I,I,I,I,I,I
1401064,1,201401,1,4.816666667,0.927452179,2,46500,1008,3,1,3,1,9,R,I,R,R,R,R,R,R
1401065,2,201401,1,4.854545455,0.927452179,1,56500,1216,3,9,9,9,9,R,R,R,R,9,9,9,9
1401066,5,201401,3,3.856140351,1.081805946,2,150600,2400,3,3,3,2,1,R,R,R,R,R,R,R,R
1401067,2,201401,2,2.427272727,1.081805946,2,71300,1904,3,2,1,2,1,R,R,R,R,R,R,R,R
1401068,3,201401,1,34.778571429,0.927452179,2,51400,1152,1,2,3,1,9,I,I,I,I,I,I,I,R
1401069,2,201401,2,2.427272727,1.081805946,2,103400,2040,3,2,3,3,1,R,I,R,R,R,R,R,R
1401070,2,201401,1,4.854545455,0.927452179,2,43600,924,3,3,1,3,1,R,I,R,R,R,R,R,R
1401071,3,201401,1,34.778571429,0.927452179,1,53600,1216,3,9,9,9,9,R,I,I,I,9,9,9,9
1401072,4,201401,1,11.568421053,0.927452179,2,48400,1064,1,2,1,3,1,R,I,R,R,R,R,R,R
1401073,2,201401,1,4.854545455,0.927452179,2,57300,1300,3,2,1,3,1,I,I,I,I,I,I,I,I
1401074,4,201401,2,5.784210526,1.081805946,2,73100,1152,3,2,3,2,1,R,I,I,I,I,I,I,I
1401075,3,201401,2,17.389285714,1.081805946,2,87300,1568,3,2,3,3,1,R,I,I,I,I,I,I,I
1401076,1,201401,2,2.408333333,1.081805946,2,106400,2000,3,2,3,3,1,I,I,I,I,I,I,I,I
1401077,3,201401,1,34.778571429,0.927452179,2,48000,1080,3,2,1,3,1,R,R,R,R,R,R,R,R
1401078,2,201401,2,2.427272727,1.081805946,2,116800,2400,3,2,1,3,1,I,I,I,I,I,I,I,I
1401079,2,201401,1,4.854545455,0.927452179,2,38800,700,1,3,3,3,1,I,I,I,I,I,I,I,I
1401080,3,201401,1,34.778571429,0.927452179,2,42700,896,1,2,1,3,1,R,I,R,R,I,R,I,I
1401081,2,201401,2,2.427272727,1.081805946,2,91100,1680,3,2,1,3,1,I,I,I,I,I,I,I,I
1401082,3,201401,2,17.389285714,1.081805946,3,9,9,9,9,9,9,9,R,9,9,9,9,9,9,9
1401083,3,201401,2,17.389285714,1.081805946,2,72200,1680,3,2,3,1,9,R,R,R,R,R,R,R,R
1401084,3,201401,2,17.389285714,1.081805946,2,96200,1568,3,2,3,1,9,R,R,R,R,R,R,R,R
1401085,1,201401,1,4.816666667,0.927452179,1,38800,784,1,9,9,9,9,I,I,I,I,9,9,9,9
1401086,3,201401,1,4.854545455,0.927452179,2,36000,700,1,1,3,3,1,R,R,R,R,R,R,R,R
1401087,4,201401,2,5.784210526,1.081805946,1,109800,2500,3,9,9,9,9,R,R,R,R,9,9,9,9
1401088,2,201401,2,2.427272727,1.081805946,2,53000,1456,3,2,3,1,9,R,R,R,R,I,R,R,R
1401089,1,201401,1,4.816666667,0.927452179,2,71000,1216,3,2,1,2,1,R,R,R,R,R,R,R,R
1401090,2,201401,2,2.427272727,1.081805946,2,89000,1344,3,1,3,1,9,R,R,R,R,R,R,R,R
1401091,2,201401,2,2.427272727,1.081805946,2,103400,2040,3,2,1,1,9,I,I,I,I,I,I,I,R
1401092,1,201401,1,4.816666667,0.927452179,1,43600,924,1,9,9,9,9,I,I,I,I,9,9,9,9
1401093,3,201401,1,34.778571429,0.927452179,2,35000,980,1,2,1,3,1,R,R,R,R,R,R,R,R
1401094,3,201401,2,17.389285714,1.081805946,1,71000,1344,3,9,9,9,9,R,R,R,R,9,9,9,9
1401095,2,201401,2,2.427272727,1.081805946,2,55000,1568,3,2,1,2,1,R,R,R,R,R,R,R,R
1401096,3,201401,2,17.389285714,1.081805946,2,131700,2240,3,2,3,2,1,R,R,R,R,R,R,R,R
1401097,4,201401,2,5.784210526,1.081805946,2,140400,2016,3,2,3,1,9,R,R,R,R,R,R,R,R
1401098,1,201401,2,2.408333333,1.081805946,2,77700,1288,3,3,3,2,1,I,I,I,I,I,I,I,I
1401099,4,201401,2,5.784210526,1.081805946,2,81700,1404,1,2,1,3,1,R,I,I,I,I,I,I,I
1401100,5,201401,3,11.592857143,1.081805946,2,69200,1100,3,2,3,3,1,I,I,I,I,I,I,I,I
1401101,3,201401,2,17.389285714,1.081805946,2,116800,2500,3,2,3,3,1,R,I,I,I,I,I,I,I
1401102,4,201401,2,5.784210526,1.081805946,2,87800,1350,3,2,3,2,1,R,R,R,R,R,R,R,R
1401103,3,201401,2,17.389285714,1.081805946,2,94900,1792,3,2,3,2,1,R,I,R,R,I,I,I,I
1401104,4,201401,2,5.784210526,1.081805946,2,75800,1232,1,2,1,3,1,R,I,R,R,R,R,R,R
1401105,2,201401,1,4.854545455,0.927452179,2,53600,1216,3,2,1,2,1,R,I,R,R,R,R,R,R
1401106,3,201401,1,34.778571429,0.927452179,2,66600,1088,1,2,3,3,1,R,R,R,R,R,R,R,R
1401107,2,201401,2,2.427272727,1.081805946,1,80000,1344,3,9,9,9,9,R,R,R,R,9,9,9,9
1401108,4,201401,2,5.784210526,1.081805946,2,137800,1456,3,2,1,2,1,R,R,R,R,R,R,R,R
1401109,2,201401,2,2.427272727,1.081805946,2,83400,1456,3,2,3,3,1,R,I,I,I,I,I,I,I
1401110,2,201401,2,2.427272727,1.081805946,2,94900,1792,3,2,1,3,1,I,I,I,I,I,I,I,I
1401111,3,201401,2,17.389285714,1.081805946,2,88000,1568,3,3,3,2,1,R,R,R,R,R,R,R,R
1401112,3,201401,1,34.778571429,0.927452179,2,54700,1216,3,2,3,3,1,R,R,R,R,R,R,R,R
1401113,4,201401,2,5.784210526,1.081805946,2,91100,1680,3,2,1,3,1,I,I,I,I,I,I,I,I
1401114,4,201401,2,5.784210526,1.081805946,2,70100,1064,3,2,1,3,1,R,I,R,R,R,R,R,R
1401115,1,201401,2,2.408333333,1.081805946,2,66000,1344,3,2,1,2,1,R,R,R,R,R,R,R,R
1401116,3,201401,2,17.389285714,1.081805946,2,94900,1792,3,1,3,1,9,R,I,R,R,R,R,R,R
1401117,2,201401,1,4.854545455,0.927452179,1,55800,1300,3,9,9,9,9,R,I,R,R,9,9,9,9
1401118,3,201401,2,17.389285714,1.081805946,2,73000,1792,3,2,3,3,1,R,R,R,R,R,R,R,R
1401119,4,201401,2,5.784210526,1.081805946,2,118000,1188,3,1,1,1,9,R,R,R,R,R,R,R,R
1401120,4,201401,2,5.784210526,1.081805946,2,69800,1056,1,3,1,2,1,R,I,R,R,R,R,R,R
1401121,1,201401,2,2.408333333,1.081805946,2,228600,1456,1,2,1,2,1,R,R,R,R,R,R,R,R
1401122,1,201401,2,2.408333333,1.081805946,1,76000,1456,3,9,9,9,9,R,R,R,R,9,9,9,9
1401123,4,201401,2,5.784210526,1.081805946,2,72200,1056,1,2,1,3,1,R,R,R,R,R,R,R,R
1401124,2,201401,1,4.854545455,0.927452179,2,53600,1216,1,2,1,3,1,R,I,I,I,I,I,I,I
1401125,4,201401,1,11.568421053,0.927452179,2,65700,884,3,2,1,3,1,R,R,R,R,R,R,R,R
1401126,4,201401,2,5.784210526,1.081805946,1,69900,2128,3,9,9,9,9,R,R,R,R,9,9,9,9
1401127,3,201401,2,2.427272727,1.081805946,2,41400,1344,3,1,1,3,1,R,R,R,R,R,R,R,R
1401128,5,201401,3,3.856140351,1.081805946,2,165000,2240,3,1,3,3,1,R,R,R,R,R,R,R,R
1401129,2,201401,2,2.427272727,1.081805946,2,83000,2400,3,1,3,1,9,R,R,R,R,R,R,R,R
1401130,1,201401,2,2.408333333,1.081805946,2,228600,1344,1,3,1,2,1,R,R,R,R,R,R,R,R
1401131,3,201401,2,17.389285714,1.081805946,2,81100,1000,3,2,3,2,1,R,R,R,R,R,R,R,R
1401132,1,201401,2,2.408333333,1.081805946,2,103700,2000,3,2,1,1,9,I,I,I,I,I,I,I,R
1401133,3,201401,1,34.778571429,0.927452179,2,51400,1152,1,2,1,3,1,R,I,R,R,R,R,R,R
1401134,3,201401,2,17.389285714,1.081805946,2,85200,2128,3,1,3,3,1,R,R,R,R,R,R,R,R
1401135,4,201401,2,5.784210526,1.081805946,1,91100,1680,3,9,9,9,9,I,I,I,I,9,9,9,9
1401136,4,201401,2,5.784210526,1.081805946,2,108000,2500,3,2,1,3,1,I,I,I,I,I,I,I,I
1401137,2,201401,2,2.427272727,1.081805946,2,86200,1536,3,2,3,2,1,I,I,I,I,I,I,I,I
1401138,3,201401,2,17.389285714,1.081805946,2,87300,1568,3,2,3,3,1,R,I,I,I,I,I,I,I
1401139,2,201401,2,2.427272727,1.081805946,2,72000,1100,3,2,3,3,1,R,I,I,I,I,I,I,I
1401140,1,201401,2,2.408333333,1.081805946,1,76300,1248,3,9,9,9,9,R,I,R,R,9,9,9,9
1401141,3,201401,2,17.389285714,1.081805946,1,131700,2500,3,9,9,9,9,R,R,R,R,9,9,9,9
1401142,3,201401,2,17.389285714,1.081805946,2,64900,1000,1,2,1,3,1,R,I,R,R,R,R,R,R
1401143,3,201401,1,34.778571429,0.927452179,3,9,9,9,9,9,9,9,R,9,9,9,9,9,9,9
1401144,3,201401,2,17.389285714,1.081805946,3,9,9,9,9,9,9,9,R,9,9,9,9,9,9,9
1401145,4,201401,2,5.784210526,1.081805946,1,87300,1568,3,9,9,9,9,R,I,R,R,9,9,9,9
1401146,2,201401,1,4.854545455,0.927452179,2,67100,1300,3,2,1,1,9,I,I,I,I,I,I,I,R
1401147,4,201401,2,5.784210526,1.081805946,2,68000,1188,3,2,3,1,9,R,R,R,R,R,R,R,R
1401148,3,201401,2,17.389285714,1.081805946,2,114900,1624,3,2,1,3,1,R,R,R,R,R,R,R,R
1401149,1,201401,1,4.816666667,0.927452179,2,59200,1024,1,2,1,2,1,R,R,R,R,R,R,R,R
1401150,2,201401,2,5.784210526,1.081805946,1,117500,1904,3,9,9,9,9,R,R,R,R,9,9,9,9
1401151,3,201401,1,34.778571429,0.927452179,2,40500,1280,3,2,3,3,1,R,R,R,R,R,R,R,R
1401152,2,201401,1,4.854545455,0.927452179,2,57300,1300,3,2,1,3,1,I,I,I,I,I,I,I,I
1401153,3,201401,1,34.778571429,0.927452179,3,9,9,9,9,9,9,9,R,9,9,9,9,9,9,9
1401154,3,201401,2,17.389285714,1.081805946,1,62000,1000,3,9,9,9,9,R,R,R,R,9,9,9,9
1401155,3,201401,1,34.778571429,0.927452179,2,44300,896,1,2,3,3,1,R,R,R,R,R,R,R,R
1401156,5,201401,3,3.856140351,1.081805946,2,190000,2400,3,2,1,3,1,R,R,R,R,R,R,R,R
1401157,1,201401,1,4.816666667,0.927452179,2,44900,960,1,2,1,1,9,R,I,R,R,R,R,R,R
1401158,2,201401,1,4.854545455,0.927452179,1,57300,1300,3,9,9,9,9,I,I,I,I,9,9,9,9
1401159,2,201401,2,2.427272727,1.081805946,2,79600,1344,3,2,3,2,1,R,I,I,I,I,I,I,I
1401160,3,201401,2,17.389285714,1.081805946,2,90000,2500,3,2,3,2,1,R,R,R,R,R,R,R,R
1401161,4,201401,2,5.784210526,1.081805946,2,91000,1568,3,2,1,3,1,R,R,R,R,R,R,R,R
1401162,3,201401,2,17.389285714,1.081805946,2,96800,1848,3,2,3,1,9,I,I,I,I,I,I,I,R
1401163,2,201401,2,2.427272727,1.081805946,2,76300,1248,3,2,3,3,1,R,I,R,R,R,R,R,R
1401164,3,201401,1,34.778571429,0.927452179,2,30800,1216,3,2,3,3,1,R,R,R,R,R,R,R,R
1401165,1,201401,1,4.816666667,0.927452179,2,84600,1120,1,2,1,2,1,R,R,R,R,R,R,R,R
1401166,1,201401,2,2.408333333,1.081805946,2,82900,1440,3,2,1,3,1,R,I,R,R,R,R,R,R
1401167,1,201401,2,2.408333333,1.081805946,1,94900,1792,3,9,9,9,9,R,I,R,R,9,9,9,9
1401168,2,201401,2,2.427272727,1.081805946,2,75800,1232,3,1,1,2,1,I,I,I,I,I,I,I,I
1401169,4,201401,2,5.784210526,1.081805946,2,70100,1064,3,2,1,1,9,R,I,R,R,R,R,R,R
1401170,2,201401,2,2.427272727,1.081805946,2,67200,1456,3,2,1,2,1,R,R,R,R,R,R,R,R
1401171,3,201401,2,17.389285714,1.081805946,2,108000,2176,3,1,3,1,9,R,I,R,R,R,R,R,R
1401172,2,201401,2,2.427272727,1.081805946,2,116800,2400,3,2,1,3,1,R,I,I,I,I,I,I,I
1401173,3,201401,1,34.778571429,0.927452179,2,24500,924,3,2,1,3,1,R,R,R,R,R,R,R,R
1401174,2,201401,2,2.427272727,1.081805946,2,70700,2016,3,2,3,1,9,R,R,R,R,R,R,R,R
1401175,4,201401,2,5.784210526,1.081805946,2,61000,1296,3,1,1,1,9,R,R,R,R,R,R,R,R
1401176,4,201401,2,5.784210526,1.081805946,2,43200,1104,3,2,3,3,1,R,R,R,R,I,I,I,R
1401177,1,201401,2,2.408333333,1.081805946,2,95400,1680,3,2,1,3,1,R,R,R,R,R,R,R,R
1401178,2,201401,2,2.427272727,1.081805946,2,91100,1680,3,2,1,3,1,R,I,R,R,R,R,R,R
1401179,2,201401,2,2.427272727,1.081805946,2,91100,1680,3,2,1,3,1,R,I,I,I,I,I,I,I
1401180,2,201401,2,2.427272727,1.081805946,1,103700,2048,3,9,9,9,9,I,I,I,I,9,9,9,9
1401181,4,201401,2,5.784210526,1.081805946,2,54000,1296,3,2,3,3,1,R,R,R,R,R,R,R,R
1401182,3,201401,2,17.389285714,1.081805946,2,58900,1536,3,2,3,3,1,R,R,R,R,R,R,R,R
1401183,4,201401,1,11.568421053,0.927452179,2,50000,896,1,1,1,2,1,R,R,R,R,I,R,R,R
1401184,1,201401,2,2.408333333,1.081805946,2,58700,1344,3,2,3,3,1,R,R,R,R,R,R,R,R
1401185,2,201401,2,2.427272727,1.081805946,2,110200,2240,3,1,3,3,1,R,I,I,I,I,I,I,I
1401186,2,201401,1,4.854545455,0.927452179,2,43600,924,3,2,1,3,1,I,I,I,I,I,I,I,I
1401187,2,201401,1,4.854545455,0.927452179,2,53600,1216,3,2,1,2,1,R,I,R,R,R,R,R,R
1401188,2,201401,1,4.854545455,0.927452179,2,46900,1216,3,2,3,3,1,R,R,R,R,R,R,R,R
1401189,3,201401,1,34.778571429,0.927452179,2,42000,1280,3,2,3,3,1,R,R,R,R,R,R,R,R
1401190,3,201401,2,17.389285714,1.081805946,2,87300,1568,3,1,3,1,9,R,I,R,R,R,R,R,R
1401191,4,201401,2,5.784210526,1.081805946,2,90800,1792,3,2,3,1,9,R,R,R,R,R,R,R,R
1401192,4,201401,2,5.784210526,1.081805946,1,87900,1456,3,9,9,9,9,R,R,R,R,9,9,9,9
1401193,3,201401,2,17.389285714,1.081805946,2,89400,2176,3,2,3,1,9,R,R,R,R,R,R,R,R
1401194,2,201401,2,2.427272727,1.081805946,2,95900,1984,3,2,3,1,9,R,R,R,R,R,R,R,R
1401195,4,201401,2,5.784210526,1.081805946,2,43200,1120,3,2,3,2,1,R,R,R,R,R,R,R,R
1401196,1,201401,2,2.408333333,1.081805946,2,105800,2000,3,2,3,1,9,R,R,R,R,R,R,R,R
1401197,3,201401,2,17.389285714,1.081805946,2,85300,2500,3,2,3,2,1,R,R,R,R,R,R,R,R
1401198,3,201401,2,17.389285714,1.081805946,1,56000,1232,3,9,9,9,9,R,R,R,R,9,9,9,9
1401199,2,201401,1,4.854545455,0.927452179,2,57300,1300,3,2,1,1,9,I,I,I,I,I,I,I,R
1401200,1,201401,2,2.408333333,1.081805946,2,93000,1736,1,2,1,2,1,R,I,R,R,R,R,R,R
1401201,3,201401,2,17.389285714,1.081805946,2,66400,1568,3,2,3,2,1,R,R,R,R,R,R,R,R
1401202,1,201401,2,2.408333333,1.081805946,2,77700,1288,3,2,3,2,1,R,I,R,R,R,R,R,R
1401203,5,201401,3,3.856140351,1.081805946,2,143100,2160,3,2,3,3,1,R,R,R,R,R,R,R,R
1401204,1,201401,2,2.408333333,1.081805946,2,228600,1568,1,2,1,2,1,R,R,R,R,R,R,R,R
1401205,3,201401,1,34.778571429,0.927452179,2,53600,700,1,2,3,2,1,R,R,R,R,R,I,R,R
1401206,4,201401,2,5.784210526,1.081805946,2,76300,1248,3,2,1,3,1,I,I,I,I,I,I,I,I
1401207,2,201401,2,2.427272727,1.081805946,2,91500,1568,3,2,3,1,9,R,R,R,R,R,R,R,R
1401208,4,201401,2,5.784210526,1.081805946,1,119300,2112,3,9,9,9,9,R,R,R,R,9,9,9,9
1401209,3,201401,1,34.778571429,0.927452179,2,56900,1312,1,2,3,3,1,I,I,I,I,I,I,I,I
1401210,1,201401,2,2.408333333,1.081805946,2,92000,1680,3,2,1,3,1,R,R,R,R,R,R,R,R
1401211,1,201401,2,2.408333333,1.081805946,2,106400,2000,3,3,3,2,1,R,I,I,I,I,I,I,I
1401212,3,201401,1,34.778571429,0.927452179,2,53600,1216,3,2,3,3,1,R,I,I,I,I,I,I,I
1401213,2,201401,1,4.854545455,0.927452179,2,55800,1300,3,2,1,3,1,I,I,I,I,I,I,I,I
1401214,2,201401,1,4.854545455,0.927452179,2,55800,1300,3,2,1,3,1,I,I,I,I,I,I,I,I
1401215,1,201401,2,2.408333333,1.081805946,2,92900,1456,3,2,1,3,1,R,R,R,R,R,R,R,R
1401216,4,201401,2,5.784210526,1.081805946,2,51600,1152,3,2,1,2,1,R,R,R,R,R,R,R,R
1401217,3,201401,2,17.389285714,1.081805946,2,85000,1344,3,1,3,1,9,R,R,R,R,R,R,R,R
1401218,4,201401,2,5.784210526,1.081805946,2,100000,1647,3,2,3,3,1,R,R,R,R,R,R,R,R
1401219,4,201401,2,5.784210526,1.081805946,2,74000,1512,3,2,3,1,9,R,R,R,R,R,R,R,R
1401220,3,201401,2,17.389285714,1.081805946,1,56900,1456,3,9,9,9,9,R,R,R,R,9,9,9,9
1401221,3,201401,1,34.778571429,0.927452179,2,46500,1216,3,2,3,3,1,R,R,R,R,R,R,R,R
1401222,2,201401,2,2.427272727,1.081805946,2,78600,2048,3,2,1,1,9,R,R,R,R,R,R,R,R
1401223,4,201401,1,11.568421053,0.927452179,2,50000,900,1,2,1,3,1,R,R,R,R,R,R,R,R
1401224,4,201401,1,11.568421053,0.927452179,2,84200,900,1,2,3,3,1,R,R,R,R,R,R,R,R
1401225,2,201401,1,4.854545455,0.927452179,2,26900,700,1,2,1,1,9,R,R,R,R,R,R,R,R
1401226,3,201401,2,17.389285714,1.081805946,2,67300,1984,3,2,3,3,1,R,R,R,R,R,R,R,R
1401227,1,201401,1,4.816666667,0.927452179,2,44900,960,1,3,1,2,1,R,I,R,R,R,R,R,R
1401228,4,201401,2,5.784210526,1.081805946,2,106600,1904,3,2,1,2,1,R,R,I,I,R,R,I,R
1401229,2,201401,2,2.427272727,1.081805946,2,76100,1404,3,2,3,1,9,R,R,R,R,R,R,R,R
1401230,2,201401,1,4.854545455,0.927452179,1,42700,896,3,9,9,9,9,I,I,I,I,9,9,9,9
1401231,1,201401,2,2.408333333,1.081805946,2,96000,1792,1,2,3,2,1,R,R,R,R,R,R,R,R
1401232,2,201401,2,2.427272727,1.081805946,2,91100,1680,3,3,1,2,1,I,I,I,I,I,I,I,I
1401233,2,201401,2,2.427272727,1.081805946,2,100200,1904,3,2,1,3,1,R,R,R,R,R,R,R,R
1401234,3,201401,1,34.778571429,0.927452179,2,53600,1216,3,2,3,1,9,R,I,I,I,R,R,R,R
1401235,4,201401,2,5.784210526,1.081805946,2,115700,2500,3,2,3,2,1,I,I,I,I,I,I,I,I
1401236,2,201401,2,2.427272727,1.081805946,2,89200,1624,3,2,1,3,1,I,I,I,I,I,I,I,I
1401237,2,201401,1,4.854545455,0.927452179,2,48100,1056,3,2,1,3,1,R,I,I,I,I,I,I,I
1401238,2,201401,1,4.854545455,0.927452179,2,67100,1300,3,2,1,3,1,R,R,R,R,R,R,R,R
1401239,4,201401,2,5.784210526,1.081805946,2,145000,1485,1,2,1,2,1,R,R,R,R,I,R,R,R
1401240,2,201401,2,2.427272727,1.081805946,2,112400,2040,3,2,1,3,1,R,R,R,R,R,R,R,R
1401241,3,201401,2,17.389285714,1.081805946,2,71900,1792,3,2,3,3,1,R,R,R,R,R,R,R,R
1401242,3,201401,2,17.389285714,1.081805946,2,62700,1408,3,2,3,3,1,R,R,R,R,R,R,R,R
1401243,3,201401,2,17.389285714,1.081805946,2,62500,1344,3,2,3,2,1,R,R,R,R,R,R,R,R
